Using MAVLink 1.0
Using MAVLink 1.0
timestamp,TimeUS,DesR,R,IR,IRErr,DesP,P,DesY,Y,ErrRP,ErrYaw
1525581352.43704009,27971307,0.0,0.88,0.0,41326.1328125,0.0,0.21,354.58,354.58,0.0,0.0
1525581352.53699994,28071267,0.0,0.9,0.0,40039.7890625,0.0,0.25,354.5,354.5,0.0,0.0
1525581352.63696003,28171227,0.0,0.92,0.0,8349.92480469,0.0,0.29,354.42,354.42,0.0,0.0
1525581352.73692012,28271187,0.0,0.94,0.0,8495.11230469,0.0,0.33,354.37,354.37,0.0,0.0
1525581352.83687997,28371147,0.0,0.98,0.0,8754.99121094,0.0,0.37,354.3,354.3,0.0,0.0
1525581352.93684006,28471107,0.0,1.01,0.0,9046.55664062,0.0,0.41,354.22,354.22,0.0,0.0
1525581353.03680015,28571067,0.0,1.03,0.0,9321.21972656,0.0,0.45,354.13,354.13,0.0,0.0
1525581353.13676000,28671027,0.0,1.04,0.0,9550.51269531,0.0,0.47,354.02,354.02,0.0,0.0
1525581353.23672009,28770987,0.0,1.05,0.0,9747.71777344,0.0,0.47,353.92,353.92,0.0,0.0
1525581353.33667994,28870947,0.0,1.07,0.0,9931.79980469,0.0,0.48,353.83,353.83,0.0,0.0
1525581353.43664002,28970907,0.0,1.08,0.0,10114.7109375,0.0,0.48,353.74,353.74,0.0,0.0
1525581353.53660011,29070867,0.0,1.09,0.0,10270.7246094,0.0,0.47,353.65,353.65,0.0,0.0
1525581353.63655996,29170827,0.0,1.09,0.0,10422.0908203,0.0,0.48,353.54,353.54,0.0,0.0
1525581353.73652005,29270787,0.0,1.1,0.0,10558.7226562,0.0,0.51,353.42,353.42,0.0,0.07
1525581353.83648014,29370747,0.0,1.12,0.0,10693.8964844,0.0,0.52,353.29,353.29,0.0,0.08
1525581353.93643999,29470707,0.0,1.15,0.0,10858.3896484,0.0,0.53,353.2,353.2,0.0,0.08
1525581354.03640008,29570667,0.0,1.19,0.0,11046.3730469,0.0,0.52,353.12,353.12,0.0,0.07
1525581354.13636017,29670627,0.0,1.22,0.0,11261.3027344,0.0,0.51,353.04,353.04,0.0,0.07
1525581354.23632002,29770587,0.0,1.25,0.0,11497.1982422,0.0,0.52,352.94,352.94,0.0,0.07
1525581354.33628011,29870547,0.0,1.27,0.0,11740.4990234,0.0,0.52,352.83,352.83,0.0,0.07
1525581354.43623996,29970507,0.0,1.29,0.0,11986.2675781,0.0,0.54,352.72,352.72,0.0,0.07
1525581354.53703308,30071300,0.0,1.3,0.0,12228.3925781,0.0,0.54,352.6,352.6,0.0,0.07
1525581354.63699317,30171260,0.0,1.33,0.0,12463.9355469,0.0,0.55,352.47,352.47,0.0,0.01
1525581354.73695302,30271220,0.0,1.34,0.0,12707.203125,0.0,0.53,352.37,352.37,0.0,0.0
1525581354.83691311,30371180,0.0,1.35,0.0,12946.8154297,0.0,0.53,352.28,352.28,0.0,0.0
1525581354.93687296,30471140,0.0,1.34,0.0,13161.4160156,0.0,0.51,352.19,352.19,0.0,0.0
1525581355.03683305,30571100,0.0,1.35,0.0,13353.4677734,0.0,0.49,352.1,352.1,0.0,0.0
1525581355.13679314,30671060,0.75,1.32,0.07,13517.7529297,0.2,0.43,352.05,352.02,0.0,0.0
1525581355.23675299,30771020,0.49,1.16,0.22,11883.109375,0.11,0.28,352.05,351.97,0.0,0.0
1525581355.33671308,30870980,0.38,0.97,0.33,8988.16503906,0.08,0.16,352.05,351.97,0.0,0.0
1525581355.43667316,30970940,0.3,0.8,0.39,6879.68310547,0.08,0.08,352.05,352.0,0.0,0.0
1525581355.53663301,31070900,0.26,0.67,0.4,5423.25390625,0.1,0.04,352.05,352.03,0.0,0.0
