Using MAVLink 1.0
Using MAVLink 1.0
timestamp,TimeUS,DesR,R,IR,IRErr,DesP,P,DesY,Y,ErrRP,ErrYaw
1525581540.37798405,26371947,0.0,0.89,0.0,7631.79150391,0.0,0.17,355.25,355.25,0.0,0.0
1525581540.47794390,26471907,0.0,0.9,0.0,7664.74023438,0.0,0.15,355.19,355.19,0.0,0.0
1525581540.57790399,26571867,0.0,0.91,0.0,7715.41601562,0.0,0.14,355.13,355.13,0.0,0.0
1525581540.67786407,26671827,0.0,0.92,0.0,7777.79785156,0.0,0.14,355.06,355.06,0.0,0.0
1525581540.77782393,26771787,0.0,0.9,0.0,7825.30761719,0.0,0.12,355.0,355.0,0.0,0.0
1525581540.87778401,26871747,0.0,0.87,0.0,7827.13916016,0.0,0.13,354.94,354.94,0.0,0.0
1525581540.97774410,26971707,0.0,0.83,0.0,7787.09667969,0.0,0.16,354.89,354.89,0.0,0.0
1525581541.07770395,27071667,0.0,0.8,0.0,7716.11865234,0.0,0.18,354.84,354.84,0.0,0.0
1525581541.17766404,27171627,0.0,0.78,0.0,7627.28076172,0.0,0.2,354.79,354.79,0.0,0.0
1525581541.27762389,27271587,0.0,0.74,0.0,7524.49560547,0.0,0.21,354.75,354.75,0.0,0.0
1525581541.37758398,27371547,0.0,0.71,0.0,7404.58691406,0.0,0.22,354.7,354.7,0.0,0.0
1525581541.47754407,27471507,0.0,0.69,0.0,7277.81396484,0.0,0.21,354.63,354.63,0.0,0.0
1525581541.57750392,27571467,0.0,0.69,0.0,7156.17138672,0.0,0.19,354.54,354.54,0.0,0.0
1525581541.67746401,27671427,0.0,0.72,0.0,7057.95800781,0.0,0.18,354.45,354.45,0.0,0.0
1525581541.77742410,27771387,0.0,0.75,0.0,6986.17626953,0.0,0.19,354.37,354.37,0.0,0.0
1525581541.87738395,27871347,0.0,0.77,0.0,6937.515625,0.0,0.22,354.31,354.31,0.0,0.0
1525581541.97734404,27971307,0.0,0.79,0.0,6906.203125,0.0,0.27,354.23,354.23,0.0,0.0
1525581542.07730389,28071267,0.0,0.81,0.0,6886.29638672,0.0,0.32,354.12,354.12,0.0,0.0
1525581542.17726398,28171227,0.56,0.84,0.12,6022.92333984,0.12,0.33,354.09,354.03,0.0,0.0
1525581542.27722406,28271187,0.36,0.81,0.24,5040.03466797,0.04,0.26,354.09,353.99,0.0,0.0
1525581542.37718391,28371147,0.28,0.74,0.31,4164.86572266,0.01,0.15,354.09,353.97,0.0,0.0
1525581542.47797704,28471940,0.21,0.65,0.34,3441.95776367,-0.01,0.05,354.09,353.98,0.0,0.0
1525581542.57793689,28571900,0.16,0.56,0.34,2884.00756836,-0.01,-0.01,354.09,353.97,0.0,0.0
1525581542.67789698,28671860,0.14,0.46,0.3,2462.00756836,-0.02,-0.08,354.09,353.97,0.0,0.0
1525581542.77785707,28771820,0.12,0.35,0.25,2132.85302734,0.0,-0.14,354.09,354.0,0.0,0.0
1525581542.87781692,28871780,0.11,0.27,0.19,1874.96118164,0.01,-0.18,354.09,354.03,0.0,0.0
1525581542.97777700,28971740,0.13,0.17,0.14,1670.26489258,0.04,-0.21,354.09,354.07,0.0,0.0
1525581543.07773709,29071700,0.13,0.09,0.11,1503.59265137,0.07,-0.21,354.09,354.1,0.0,0.0
1525581543.17769694,29171660,0.19,0.03,0.1,1368.95471191,0.14,-0.14,354.09,354.08,0.0,0.0
1525581543.27765703,29271620,0.28,0.0,0.11,1262.67211914,0.19,-0.05,354.09,354.01,0.0,0.0
1525581543.37761688,29371580,0.37,0.03,0.15,1178.18359375,0.23,0.01,354.09,353.92,0.0,0.0
1525581543.47757697,29471540,0.44,0.11,0.22,1104.00268555,0.27,0.06,354.09,353.97,0.0,0.0
1525581543.57753706,29571500,0.44,0.2,0.3,1038.83117676,0.3,0.08,354.09,354.05,0.0,0.0
1525581543.67749691,29671460,0.44,0.29,0.36,978.983520508,0.34,0.1,354.09,354.12,0.0,0.0
1525581543.77745700,29771420,0.39,0.35,0.41,923.920593262,0.34,0.15,354.09,354.11,0.0,0.0
1525581543.87741709,29871380,0.34,0.39,0.43,874.343933105,0.35,0.2,354.09,354.05,0.0,0.0
1525581543.97737694,29971340,0.31,0.43,0.42,828.784484863,0.39,0.26,354.09,353.99,0.0,0.0
1525581544.07733703,30071300,0.28,0.41,0.4,787.373962402,0.4,0.29,354.09,353.9,0.0,0.0
1525581544.17729712,30171260,0.27,0.45,0.36,751.060668945,0.4,0.3,354.09,353.83,0.0,0.0
1525581544.27725697,30271220,0.23,0.4,0.32,720.125061035,0.39,0.25,354.09,353.84,0.0,0.0
1525581544.37721705,30371180,0.2,0.32,0.27,690.81048584,0.35,0.26,354.09,353.91,0.0,0.0
1525581544.47717690,30471140,0.2,0.19,0.23,662.312072754,0.34,0.24,354.09,353.98,0.0,0.0
1525581544.57797003,30571933,0.21,0.13,0.2,637.793212891,0.33,0.25,354.09,354.04,0.0,0.0
1525581544.67792988,30671893,0.26,0.14,0.18,614.260437012,0.34,0.27,354.09,354.1,0.0,0.0
1525581544.77788997,30771853,0.25,0.14,0.19,24.1619720459,0.32,0.3,354.09,354.2,0.0,0.0
1525581544.87785006,30871813,0.29,0.14,0.2,27.8147087097,0.3,0.35,354.79,355.04,0.0,0.0
1525581544.97780991,30971773,0.31,0.16,0.22,31.523601532,0.25,0.41,354.79,355.21,0.0,0.0
1525581545.07776999,31071733,0.32,0.2,0.25,35.9183692932,0.19,0.5,354.79,355.34,0.0,0.0
1525581545.17773008,31171693,0.32,0.25,0.28,33.9234275818,0.1,0.51,354.79,355.38,0.0,0.0
1525581545.27768993,31271653,0.33,0.33,0.31,28.937128067,0.0,0.46,354.79,355.42,0.0,0.0
1525581545.37765002,31371613,0.3,0.37,0.32,25.8054733276,-0.08,0.4,354.79,355.43,0.0,0.0
1525581545.47761011,31471573,0.3,0.39,0.33,25.7270240784,-0.16,0.28,354.79,355.54,0.0,0.0
1525581545.57756996,31571533,0.28,0.39,0.33,28.1301651001,-0.24,0.11,354.79,355.63,0.0,0.0
1525581545.67753005,31671493,0.28,0.35,0.32,26.6913166046,-0.28,-0.05,354.79,355.61,0.0,0.0
1525581545.77748990,31771453,0.26,0.33,0.31,24.6288070679,-0.29,-0.16,354.79,355.56,0.0,0.0
1525581545.87744999,31871413,0.24,0.24,0.29,23.1173973083,-0.26,-0.17,354.79,355.49,0.0,0.0
1525581545.97741008,31971373,0.17,0.11,0.26,31.7992897034,-0.28,-0.14,354.79,355.4,0.0,0.0
1525581546.07736993,32071333,0.18,0.01,0.23,58.6681976318,-0.28,-0.14,354.79,355.26,0.0,0.0
1525581546.17733002,32171293,0.2,0.05,0.2,79.8679580688,-0.23,-0.12,354.79,355.14,0.0,0.0
1525581546.27729011,32271253,-0.2,0.07,0.19,85.5757598877,-0.4,-0.13,354.79,355.11,0.0,0.0
1525581546.37724996,32371213,0.01,0.06,0.11,84.8278579712,-0.27,-0.17,354.79,355.11,0.0,0.0
1525581546.47721004,32471173,0.11,0.02,0.07,82.0844726562,-0.17,-0.27,354.79,355.09,0.0,0.0
