timestamp,TimeUS,DesR,R,IR,IRErr,DesP,P,DesY,Y,ErrRP,ErrYaw
1526668814.27804017,26371947,0.0,0.89,0.0,7593.68310547,0.0,0.17,354.85,354.85,0.0,0.0
1526668814.37800002,26471907,0.0,0.9,0.0,7629.99511719,0.0,0.16,354.8,354.8,0.0,0.0
1526668814.47796011,26571867,0.0,0.91,0.0,7683.00683594,0.0,0.14,354.76,354.76,0.0,0.0
1526668814.57792020,26671827,0.0,0.92,0.0,7746.94580078,0.0,0.14,354.69,354.69,0.0,0.0
1526668814.67788005,26771787,0.0,0.9,0.0,7795.07714844,0.0,0.13,354.64,354.64,0.0,0.0
1526668814.77784014,26871747,0.0,0.87,0.0,7797.17138672,0.0,0.13,354.59,354.59,0.0,0.0
1526668814.87780023,26971707,0.0,0.83,0.0,7756.85986328,0.0,0.16,354.55,354.55,0.0,0.0
1526668814.97776008,27071667,0.0,0.8,0.0,7686.49511719,0.0,0.19,354.5,354.5,0.0,0.0
1526668815.07772017,27171627,0.0,0.78,0.0,7598.23974609,0.0,0.2,354.47,354.47,0.0,0.0
1526668815.17768002,27271587,0.0,0.74,0.0,7495.5859375,0.0,0.22,354.43,354.43,0.0,0.0
1526668815.27764010,27371547,0.0,0.71,0.0,7376.24755859,0.0,0.23,354.38,354.38,0.0,0.0
1526668815.37760019,27471507,0.0,0.69,0.0,7250.36767578,0.0,0.21,354.32,354.32,0.0,0.0
1526668815.47756004,27571467,0.0,0.69,0.0,7129.21679688,0.0,0.19,354.24,354.24,0.0,0.0
1526668815.57752013,27671427,0.0,0.72,0.0,7031.75244141,0.0,0.18,354.15,354.15,0.0,0.0
1526668815.67748022,27771387,0.0,0.75,0.0,6961.10986328,0.0,0.19,354.08,354.08,0.0,0.0
1526668815.77744007,27871347,0.0,0.78,0.0,6913.97167969,0.0,0.23,354.02,354.02,0.0,0.0
1526668815.87740016,27971307,0.0,0.79,0.0,6884.06982422,0.0,0.27,353.95,353.95,0.0,0.0
1526668815.97736001,28071267,0.0,0.81,0.0,6865.9375,0.0,0.32,353.85,353.85,0.0,0.0
1526668816.07732010,28171227,0.0,0.84,0.0,6843.875,0.0,0.37,353.76,353.76,0.0,0.0
1526668816.17728019,28271187,0.0,0.86,0.0,6981.64990234,0.0,0.41,353.68,353.68,0.0,0.0
1526668816.27724004,28371147,0.0,0.89,0.0,7195.13330078,0.0,0.46,353.59,353.59,0.0,0.0
1526668816.37803316,28471940,0.0,0.92,0.0,7433.95605469,0.0,0.5,353.5,353.5,0.0,0.0
1526668816.47799301,28571900,0.0,0.93,0.0,7657.54003906,0.0,0.54,353.4,353.4,0.0,0.0
1526668816.57795310,28671860,0.0,0.94,0.0,7841.48339844,0.0,0.56,353.27,353.27,0.0,0.0
1526668816.67791319,28771820,0.0,0.95,0.0,7995.70703125,0.0,0.56,353.16,353.16,0.0,0.0
1526668816.77787304,28871780,0.0,0.96,0.0,8133.91894531,0.0,0.56,353.04,353.04,0.0,0.0
1526668816.87783313,28971740,0.0,0.97,0.0,8273.45019531,0.0,0.56,352.94,352.94,0.0,0.0
1526668816.97779322,29071700,0.0,0.98,0.0,8387.98046875,0.0,0.55,352.84,352.84,0.0,0.0
1526668817.07775307,29171660,0.0,0.98,0.0,8498.52734375,0.0,0.57,352.71,352.71,0.0,0.0
1526668817.17771316,29271620,0.0,0.99,0.0,8594.34375,0.0,0.59,352.58,352.58,0.0,0.0
1526668817.27767301,29371580,0.0,1.0,0.0,8692.52148438,0.0,0.6,352.43,352.43,0.0,0.0
1526668817.37763309,29471540,0.0,1.03,0.0,8815.90722656,0.0,0.61,352.32,352.32,0.0,0.0
1526668817.47759318,29571500,0.0,1.06,0.0,8960.78515625,0.0,0.6,352.22,352.22,0.0,0.0
1526668817.57755303,29671460,0.0,1.1,0.0,9131.1484375,0.0,0.59,352.13,352.13,0.0,0.0
1526668817.67751312,29771420,0.0,1.12,0.0,9321.76757812,0.0,0.6,352.01,352.01,0.0,0.0
1526668817.77747321,29871380,0.0,1.14,0.0,9517.70507812,0.0,0.6,351.88,351.88,0.0,0.0
1526668817.87743306,29971340,0.0,1.16,0.0,9716.78515625,0.0,0.61,351.76,351.76,0.0,0.0
1526668817.97739315,30071300,0.0,1.17,0.0,9913.35742188,0.0,0.62,351.62,351.62,0.0,0.0
1526668818.07735324,30171260,0.0,1.2,0.0,10105.7822266,0.0,0.62,351.49,351.49,0.0,0.0
1526668818.17731309,30271220,0.0,1.22,0.0,10307.8251953,0.0,0.61,351.37,351.37,0.0,0.0
